chapter,date,location,entity,content,post_entities,n_date,n_location,n_entity,n_content,raw_generated_paragraph_idx,nb_paragraphs,style,idx_t,idx_s,idx_e,idx_c
1,"September 13, 2025",Split-Dalmatia County,Ezra Edwards,vote counting disruption,set(),4,2,2,4,0,7,news,7,2,2,2
2,"September 22, 2026",Vermont,Chloe Castillo,residential tower fire,set(),5,4,2,6,1,7,news,7,5,5,3
3,"September 22, 2026",Kampong Cham Province,Henry Reed,nuclear plant meltdown,set(),5,3,7,2,2,1,news,1,1,1,1
4,"May 07, 2024",Tuscany,Zoe Brown,produce contamination outbreak,set(),1,1,7,2,3,5,news,1,3,3,4
5,"March 23, 2024",Greater Mumbai,Logan Diaz,sports venue riot,set(),4,9,1,1,4,9,news,2,2,8,8
6,"May 31, 2024",Scotland,Julian Ross,volcanic eruption,set(),1,3,5,9,5,8,news,6,8,2,3
7,"February 27, 2026",Luzon Region,Benjamin Green,sinkhole emergence,{'Noa Middleton'},5,4,2,2,6,7,news,7,7,5,1
8,"September 27, 2025",Nairobi County,Owen Thomas,vote counting disruption,set(),2,4,1,4,7,5,news,2,4,1,1
9,"February 27, 2026",North Dakota,Mila Gonzalez,bridge collapse,set(),5,2,4,7,8,8,news,5,8,8,1
10,"October 13, 2024",New South Wales,Henry Reed,police force strike,set(),3,1,7,3,9,6,news,3,6,3,4
11,"May 11, 2026",Luzon Region,Henry Reed,sinkhole emergence,set(),5,4,7,2,10,10,news,10,7,9,9
12,"May 11, 2026",Greater Mumbai,Chloe Castillo,vote counting disruption,set(),5,9,2,4,11,4,news,2,2,2,3
13,"October 13, 2024",Scotland,Scarlett Thomas,wind farm destruction,set(),3,3,3,1,12,9,news,1,2,4,1
14,"April 09, 2026",Nairobi County,Benjamin Green,volcanic eruption,set(),3,4,2,9,13,3,news,3,2,3,1
15,"December 26, 2026",Vermont,Levi Rodriguez,factory explosion,set(),2,4,5,5,14,5,news,2,1,4,5
16,"March 23, 2024",Kampong Cham Province,Zoe Brown,volcanic eruption,set(),4,3,7,9,15,3,news,2,2,3,3
17,"June 14, 2025",Greater Mumbai,Zoe Brown,volcanic eruption,set(),5,9,7,9,16,2,news,2,2,2,2
18,"January 03, 2026",Maine,Mila Gonzalez,bridge collapse,set(),2,1,4,7,17,10,news,9,10,7,5
19,"February 27, 2026",Greater Mumbai,Jackson Ramos,bridge collapse,set(),5,9,1,7,18,5,news,3,1,2,2
20,"September 03, 2026",West Bengal,Hazel Lewis,air quality emergency,set(),1,1,2,1,19,9,news,9,8,4,2
21,"February 27, 2026",Dodoma Region,Julian Ross,volcanic eruption,set(),5,4,5,9,20,10,news,8,5,3,5
