q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
9,1,509,"Recall all events related to air filter contamination. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {air filter contamination})",Times,all,"{'June 14, 2225'}",{45},"{45: 'June 14, 2225'}",1,1,set(),
9,1,524,"Recall all events related to communication array blackout. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {communication array blackout})",Times,all,"{'September 03, 2226'}",{20},"{20: 'September 03, 2226'}",1,1,set(),
9,1,550,"Recall all events related to hyperspace beacon failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Times,all,"{'March 23, 2224'}",{22},"{22: 'March 23, 2224'}",1,1,set(),
9,1,555,"Recall all events related to ion storm interference. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {ion storm interference})",Times,all,"{'September 22, 2226'}",{27},"{27: 'September 22, 2226'}",1,1,set(),
9,1,560,"Recall all events related to main power grid overload. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {main power grid overload})",Times,all,"{'March 23, 2224'}",{5},"{5: 'March 23, 2224'}",1,1,set(),
11,1,972,"Reflect on events related to air filter contamination. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {air filter contamination})",Entities,all,{'Scarlett Thomas'},{45},{45: 'Scarlett Thomas'},1,1,set(),
11,1,976,"Reflect on events related to communication array blackout. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {communication array blackout})",Entities,all,{'Hazel Lewis'},{20},{20: 'Hazel Lewis'},1,1,set(),
11,1,981,"Reflect on events related to hyperspace beacon failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Entities,all,{'Mila Gonzalez'},{22},{22: 'Mila Gonzalez'},1,1,set(),
11,1,983,"Reflect on events related to ion storm interference. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {ion storm interference})",Entities,all,{'Noah Williams'},{27},{27: 'Noah Williams'},1,1,set(),
11,1,985,"Reflect on events related to main power grid overload. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {main power grid overload})",Entities,all,{'Logan Diaz'},{5},{5: 'Logan Diaz'},1,1,set(),
10,1,59,"Consider all events involving air filter contamination. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {air filter contamination})",Spaces,all,"{""Teegarden's Star Base""}",{45},"{45: ""Teegarden's Star Base""}",1,1,set(),
10,1,175,"Consider all events involving communication array blackout. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {communication array blackout})",Spaces,all,{'Luna Copernicus Station'},{20},{20: 'Luna Copernicus Station'},1,1,set(),
10,1,180,"Consider all events involving hyperspace beacon failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Spaces,all,{'Europa Subsurface Laboratory'},{22},{22: 'Europa Subsurface Laboratory'},1,1,set(),
10,1,182,"Consider all events involving ion storm interference. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {ion storm interference})",Spaces,all,{'Ross 128 Agricultural Station'},{27},{27: 'Ross 128 Agricultural Station'},1,1,set(),
10,1,184,"Consider all events involving main power grid overload. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {main power grid overload})",Spaces,all,{'Mercury Twilight Observatory'},{5},{5: 'Mercury Twilight Observatory'},1,1,set(),
