file,cue,missing_tuple_elements,present_tuple_elements,count,share
news_news_llm_retry_df_qa.csv,"(*, *, ent, *)",t|s|c,ent,198,0.3344594594594595
news_news_llm_retry_df_qa.csv,"(*, *, *, c)",t|s|ent,c,66,0.11148648648648649
news_news_llm_retry_df_qa.csv,"(*, s, *, *)",t|ent|c,s,60,0.10135135135135136
news_news_llm_retry_df_qa.csv,"(t, *, *, *)",s|ent|c,t,60,0.10135135135135136
news_news_llm_retry_df_qa.csv,"(*, *, ent, c)",t|s,ent|c,32,0.05405405405405406
news_news_llm_retry_df_qa.csv,"(t, *, *, c)",s|ent,t|c,30,0.05067567567567568
news_news_llm_retry_df_qa.csv,"(*, s, *, c)",t|ent,s|c,24,0.04054054054054054
news_news_llm_retry_df_qa.csv,"(*, s, ent, *)",t|c,s|ent,22,0.037162162162162164
news_news_llm_retry_df_qa.csv,"(t, s, ent, c)",,t|s|ent|c,20,0.033783783783783786
news_news_llm_retry_df_qa.csv,"(t, *, ent, *)",s|c,t|ent,20,0.033783783783783786
news_news_llm_retry_df_qa.csv,"(t, s, *, *)",ent|c,t|s,20,0.033783783783783786
news_news_llm_retry_df_qa.csv,"(*, s, ent, c)",t,s|ent|c,10,0.016891891891891893
news_news_llm_retry_df_qa.csv,"(t, *, ent, c)",s,t|ent|c,10,0.016891891891891893
news_news_llm_retry_df_qa.csv,"(t, s, *, c)",ent,t|s|c,10,0.016891891891891893
news_news_llm_retry_df_qa.csv,"(t, s, ent, *)",c,t|s|ent,10,0.016891891891891893
scifi_20260312T170655Z_df_qa.csv,"(*, *, ent, *)",t|s|c,ent,198,0.3344594594594595
scifi_20260312T170655Z_df_qa.csv,"(*, *, *, c)",t|s|ent,c,66,0.11148648648648649
scifi_20260312T170655Z_df_qa.csv,"(*, s, *, *)",t|ent|c,s,60,0.10135135135135136
scifi_20260312T170655Z_df_qa.csv,"(t, *, *, *)",s|ent|c,t,60,0.10135135135135136
scifi_20260312T170655Z_df_qa.csv,"(*, *, ent, c)",t|s,ent|c,32,0.05405405405405406
scifi_20260312T170655Z_df_qa.csv,"(t, *, *, c)",s|ent,t|c,30,0.05067567567567568
scifi_20260312T170655Z_df_qa.csv,"(*, s, *, c)",t|ent,s|c,24,0.04054054054054054
scifi_20260312T170655Z_df_qa.csv,"(*, s, ent, *)",t|c,s|ent,22,0.037162162162162164
scifi_20260312T170655Z_df_qa.csv,"(t, s, ent, c)",,t|s|ent|c,20,0.033783783783783786
scifi_20260312T170655Z_df_qa.csv,"(t, *, ent, *)",s|c,t|ent,20,0.033783783783783786
scifi_20260312T170655Z_df_qa.csv,"(t, s, *, *)",ent|c,t|s,20,0.033783783783783786
scifi_20260312T170655Z_df_qa.csv,"(*, s, ent, c)",t,s|ent|c,10,0.016891891891891893
scifi_20260312T170655Z_df_qa.csv,"(t, *, ent, c)",s,t|ent|c,10,0.016891891891891893
scifi_20260312T170655Z_df_qa.csv,"(t, s, *, c)",ent,t|s|c,10,0.016891891891891893
scifi_20260312T170655Z_df_qa.csv,"(t, s, ent, *)",c,t|s|ent,10,0.016891891891891893
thriller_20260311T152054Z_df_qa.csv,"(*, *, ent, *)",t|s|c,ent,216,0.32047477744807124
thriller_20260311T152054Z_df_qa.csv,"(t, *, *, *)",s|ent|c,t,75,0.11127596439169139
thriller_20260311T152054Z_df_qa.csv,"(*, *, *, c)",t|s|ent,c,72,0.10682492581602374
thriller_20260311T152054Z_df_qa.csv,"(*, s, *, *)",t|ent|c,s,72,0.10682492581602374
thriller_20260311T152054Z_df_qa.csv,"(t, *, *, c)",s|ent,t|c,38,0.05637982195845697
thriller_20260311T152054Z_df_qa.csv,"(*, *, ent, c)",t|s,ent|c,36,0.05341246290801187
thriller_20260311T152054Z_df_qa.csv,"(*, s, *, c)",t|ent,s|c,32,0.04747774480712166
thriller_20260311T152054Z_df_qa.csv,"(*, s, ent, *)",t|c,s|ent,32,0.04747774480712166
thriller_20260311T152054Z_df_qa.csv,"(t, s, ent, c)",,t|s|ent|c,20,0.02967359050445104
thriller_20260311T152054Z_df_qa.csv,"(t, *, ent, *)",s|c,t|ent,20,0.02967359050445104
thriller_20260311T152054Z_df_qa.csv,"(t, s, *, *)",ent|c,t|s,20,0.02967359050445104
thriller_20260311T152054Z_df_qa.csv,"(*, s, ent, c)",t,s|ent|c,11,0.016320474777448073
thriller_20260311T152054Z_df_qa.csv,"(t, *, ent, c)",s,t|ent|c,10,0.01483679525222552
thriller_20260311T152054Z_df_qa.csv,"(t, s, *, c)",ent,t|s|c,10,0.01483679525222552
thriller_20260311T152054Z_df_qa.csv,"(t, s, ent, *)",c,t|s|ent,10,0.01483679525222552
